date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
2022-09-09,80974367.92581281,811167059.1663188,1.0,51177.6488210527,1.0,1.0002409403561987,0.9999805726567385,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-08,57202634.57474295,807880242.9088463,1.0,39697.288078680955,1.0,1.000072309997938,0.9999912119064815,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-07,78113429.0809193,807623925.3264881,1.0,51051.72673894354,1.0,1.0005031522935994,0.9990893899531056,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-06,101090550.21728064,800256164.4380101,1.0,70372.53234843163,1.0,1.0000016721113598,0.9994567803245196,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-05,38925287.93746399,804756270.593747,1.0,26912.0337123442,1.0,1.0000129650038634,0.9999739630325508,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-04,24123972.347550742,824712344.8332953,1.0,16522.966791032468,1.0,1.0000097250195832,0.9999971885049408,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-03,42535915.90520563,876604527.3484215,1.0,25400.630677612495,1.0,1.0000342814161856,0.9999861940773108,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-02,84082105.97667772,862880766.3196772,1.0,56821.009150083846,1.0,1.0010788506600885,0.999998252243914,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-01,60695063.32111961,865203641.8427597,1.0,51663.52811161225,1.0,1.0003795578147814,0.9999991508516254,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-31,104784381.96243908,829284209.7916036,1.0,86839.6573588739,1.0,1.0003006711342652,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-30,105395448.0582548,831423756.087159,1.0,73122.3478240321,1.0,1.0000742647707823,0.9992377857357028,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-29,110092316.74301285,819387430.8702842,1.0,49631.69792664594,1.0,1.00004628351323,0.9994152020268672,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-28,24253299.395329826,813658177.3045173,1.0,16486.16987270208,1.0,1.0000070143195592,0.9993333959941576,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-27,34103384.45355732,814138314.4170227,1.0,26049.962439903364,1.0,1.0006187770940411,0.9994444903418428,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-26,124892486.57512568,820579460.4642937,1.0,89865.18077427786,1.0,1.000656728180206,0.999981135534905,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-25,56065717.20024194,825844924.2443641,1.0,27741.558262949624,1.0,1.0012878634662823,0.999087518388138,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-24,66280367.08029315,805591813.2683208,1.0,37417.57386241907,1.0,1.0009823552270172,0.9996477499999556,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-23,86707760.4587282,805267318.0449901,1.0,60028.017617371326,1.0,1.0008577860743149,0.9998741949757088,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-22,88712861.90559798,812358893.0626216,1.0,64182.263190167265,1.0,1.0000073218483938,0.999309540411983,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-21,87498535.74152307,832232289.6180875,1.0,58667.105277873394,1.0,1.0006635904008245,0.9997756093924658,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-20,107154303.0064578,844674085.1433331,1.0,60625.03635593437,1.0,1.0001833939903686,0.9993832055565676,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-19,153142607.37628493,872362003.9416819,1.0,88117.45407377614,1.0,1.0013375061857748,0.9995767046658052,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-18,51282492.517539434,892841906.8916446,1.0,26157.32711082872,1.0,1.00002680292141,0.9996388519805196,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-17,75166101.69973764,934113643.1217147,1.0,46781.944276597795,1.0,1.0024173848563505,0.9996986228919256,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-16,52070587.47318356,937880730.6344814,1.0,36093.65247869405,1.0,1.0004923614951235,0.9996126810819768,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-15,45227000.59359963,937408286.8349711,1.0,24016.55406252567,1.0,1.0000842967380128,0.9990901201672427,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-14,23543758.34650193,938891490.0862416,1.0,12159.075281521536,1.0,1.000420675146152,0.9994510990912148,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-13,65074896.684248425,950730403.375659,1.0,15372.943205221076,1.0,1.001193999093564,0.9994726433580402,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-12,48944326.727485135,928808982.8382984,1.0,23800.78615748196,1.0,1.0005022604865592,0.9999944190731248,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-11,207429134.22344968,1004368618.7621342,1.0,67785.73301473485,1.0,1.0013259363455171,0.9993436001519028,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-10,126006266.59863652,1024181947.0614465,1.0,70119.31297276837,1.0,1.000863482850602,0.9991045577546678,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-09,81320767.72927918,979271501.0487496,1.0,36778.4457342508,1.0,1.0007330442243252,0.9991965293541668,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-08,69889461.55285448,982108889.4880723,1.0,31658.69781153496,1.0,1.0009457218716895,0.9999407232778296,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-07,11517237.405958803,1019940408.262319,1.0,8449.888817973962,1.0,1.0001935809735865,0.9994821154643762,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-06,20625741.805576116,1020662878.1426724,1.0,9986.962806619367,1.0,1.0005875260889676,0.9993206992691852,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-05,32579522.835411847,1013127887.9590532,1.0,25485.93017148576,1.0,1.0006510321794428,0.9996012050753788,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-04,18465610.144577768,966909968.3980378,1.0,16753.176812413556,1.0,1.0000492016894316,0.9978714343338688,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-03,23208473.99342748,946618736.4946088,1.0,18483.063767922325,1.0,1.0000071654574674,0.9993388362599503,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-02,45212463.20529456,941860031.4011871,1.0,35979.10290643394,1.0,1.0005569013406763,0.999578620603938,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-08-01,103201556.97596736,1018515183.3778408,1.0,33050.22389728706,1.0,1.000504930587071,0.9990094971398518,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-31,33953964.91045112,1037718193.0099463,1.0,24480.788845902145,1.0,1.000873395354417,0.999874858163104,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-30,20023647.14084205,1041689801.2225534,1.0,28053.104753121163,1.0,1.0002570118652916,0.9999990751660436,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-29,46058000.38139814,1049488415.0492314,1.0,53169.63136972176,1.0,1.0008534885883091,0.9996751063713736,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-28,57155324.89208845,1049814428.4049736,1.0,47384.551151087355,1.0,1.0013035677166235,0.9986289799979512,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-27,53784214.462560885,1036044198.8301702,1.0,49857.92108262352,1.0,1.0,0.9991290752281659,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-26,122176910.66056783,1030570266.6659448,1.0,62072.63725458178,1.0,1.001217997955963,0.9997010593261968,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-25,50099298.97186973,990994992.3903503,1.0,40301.92442413706,1.0,1.001067597573308,0.9984827479466613,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-24,48436537.511150725,992594341.2760783,1.0,29247.304027381815,1.0,1.0000939345851092,0.9996874122346484,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-07-23,28255511.630063653,996754872.8910605,1.0,26098.12945246637,1.0,1.0002988012224865,0.9993303028231554,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
