id,totalValueLockedUSD,token0,token1,feeTier,volumeUSD,liquidity,token0Price,token1Price,volumeToken0,volumeToken1,feesUSD,createdAtTimestamp,createdAtBlockNumber,totalValueLockedToken0,totalValueLockedToken1
0x1f81a9ee204e699ed34f7be997ece58605108b16,4409.482131292775239672613146546402,CLT,WETH,10000,532417.551638129848254453005915876,0,276.261543736370986473525013945127,0.003619758242407684851896233778068122,43902.1644576,163.365301390601164143,5324.17551638129848254453005915876,1620301128,12380521,346.89113543,0.340445193170251181
0xe086085b2cceec534d65fed8e59854c2dd66f741,4397.218561400386292550061926940556,WETH,WOOFY,3000,4027140.720065822101052670237372661,5941055051693035,0.00001057976064747147840531939918069534,94520.09675086516307586431629802976,1249.807477413194656963,67262996.477625814182,12081.422160197466303158010712118,1620791742,12417299,2.010839864124676583,94530.18400593217
0x9633bf69a841038b1fda716e4a0e3adf93231322,4392.577512236409147585478028056398,LDV,WETH,3000,0.08345738704237822749622438060109904,4937134671357611,800043263.0085379717659016395855641,0.000000001249932405204602182138589646476445,15155.23,0.000019,0.0002503721611271346824886731418032971,1638527268,13733073,904921859.19,1.000018999997121179
0x504ab5b9f8c025505a3cc3c06d1cd7b22d32f093,4373.911299476737640016756914597161,UDOGE,WETH,3000,1596565.444147720958056488769728827,789929144657668008187188,31623326011.56769793002216138795321,0.00000000003162222720134509658662437469589067,633066893321.037075506412330262,475.103561428777612327,4789.696332443162874169466309186496,1620254203,12377001,141535403808.396720519312795554,3.707272369506480654
0x60253945231436e57331287294e9c1ba0495ea0b,4338.037972291598463500965485185071,XIN,WETH,3000,5930750.153650115698014565366231185,0,340256786540325233929710090404719700000,0.000000000000000000000000000000000000002938956810142818059917450894998607,12625.467574071013899567,1886.439317602439223061,17792.25046095034709404369609869351,1620385162,12386755,22.480263813248199159,2.446940870766033992
0x7d8345e45df80780f9048b8fe0ae239b0a39f5d0,4333.033192732720815816975133024363,KVNK,WETH,10000,8287.075628097422180482590814208249,1774218979038638555987,98.56883500592419779645410413251738,0.01014519447186220534375997813458922,309.756969785253673621,3.150490591014019042,82.87075628097422180482590814208249,1646486892,14327142,3272.773284404313196538,2.59607517076438374
0xd271fcde32a142c3d9649f83f9faa61cd50fdaca,4329.874791912246228386868830153922,WETH,RIGHT,3000,303852.5786438886539951054639580009,2180550628103181071618105,0.00000000000678254769551217743315895692626876,147437223428.8410678624992044148622,96.158421479423661661,3520836216166.709672800328901523,911.5577359316659619853163918740026,1629879592,13093432,0.944301918941445263,779800572113.002720737047228815
0x8f10a53176641b4b673be37d1065e0690a5a3fb4,4328.379139999999999999999999999999,TT,USDT,3000,2962909.425176223700286971869288447,3392612144954391092,90.86472596415735703692178071986061,0.01100537077935459328321422078358937,214354248.788832551053666025,2962357.542069,8888.728275528671100860915607865343,1620379489,12386344,11229079.739577617899424017,4328.37914
0x70e61de63eb3229f2ad8668a8cbd87b7a87b5f8b,4313.147485853291610515234151112271,ADX,WETH,3000,8449897.481718417046867717486185775,4769903259386435598497,4981.938339460045903007160909035733,0.0002007250856718516376454701194160394,8288476.044223985177653679,2496.663553281387645606,25349.69244515525114060315245855745,1620644810,12406248,500555.141091200084496749,3.645505574779795693
0xe6f622705401242b55141161db14b5df7c8a0a73,4304.300499585891135441830620431639,eSOV,WETH,3000,5733663.495071741329043737317967088,0,688.9698314406044172429463096065149,0.001451442362736036962415214003254829,271749.399061233519362332,1512.009484305617196968,17200.99048521522398713121195390121,1632298260,13274432,419.352073445390389019,2.225812298792841687
0x42692724953ec6add159979d3f969ef03b324c54,4296.105319987913131889835497570628,ANARCHY,WETH,10000,1087305.598050955080965921416257606,2358401902975342,83355.23940727746633907595758163955,0.00001199684635435997985366087412724636,5276852.000703515,667.855963504366871382,10873.05598050955080965921416257606,1658071070,15160909,95865.733065661,3.388315097648825865
0x741143f0b42b9a4fc4aa3575ba2a747282275ec4,4288.684747234507023616328016355346,WETH,GIV,10000,333983.9459695863362810158335268376,90640966142793605,0.0000001197613130469410006943379580961712,8349941.851489598930428770108939033,85.544651043501231031,180960238.19274772,3339.839459695863362810158335268376,1635600707,13518715,3.185415830363311646,27241557.82331801
0x818643148bd9d27d93abfcfc6664fb67df232bb3,4284.535317,PPAY,USDC,500,16594894.860156,0,24.98901725485549510999135326878633,0.04001758011534826706465374401947234,159414172.197611379124268683,16594894.860156,8297.447430078,1636245295,13566221,613174.555970391519111143,4284.535317
0xf74e2106a0ba95b5b735ddbdcab490ec833737e0,4282.648623695478339063635997148677,SHARK,WETH,10000,973564.2831858364501767133595815719,0,2119389.176325096453113086244490888,0.000000471834060101196072449486924203018,116341878.915443532476538707,296.070990541828400366,9735.642831858364501767133595815719,1630920742,13171390,642959.796884779136638141,1.351801566104429883
0x85205ea75a442f6897abef6b7e9d0c8e9366b57f,4276.54350361973581062671129589692,RVP,WETH,3000,3305309.187489773695174153592993207,231014105157800160919,104786.0212800837542923585483219245,0.000009543257657689746297886012243142811,69647256.207657221103716228,987.974319047755020182,9915.9275624693210855224607789796,1620262667,12377612,168678.638084073992754296,1.477976589693918507
0x563dfff480c34bd5cb2626636aa8c9e7bc0f45a2,4271.444405450840010514772949343115,ADAO,WETH,3000,5665.616358427125306725105120719448,0,0.00000000000000000000000000000000000000293895680758558494927616942086432,340256786836388081269117234195560700000,237940867910997.106983081295382397,1.801694437512527541,16.99684907528137592017531536215836,1644269031,14161371,207222135069.099446812574276968,1.356828162476123651
0x578cffec2dda527928b4b3bb324c38f25bc36e86,4259.675968359403431313744143208848,FOTO,WETH,10000,509741.9753622390698035656926484394,0,766.00378935269412799064363211026,0.001305476570612062702624259000738045,134242.331678644059316363,162.732318230699082638,5097.419753622390698035656926484394,1628294194,12974502,418.5275494616930491,1.071367451327906484
0x90bc850acd9aaf3327b77d6c9ced5290196bba88,4257.552883073921663707253658488568,GRAY,WETH,3000,12966.74120100444495554188148010232,68867410840656328799835144,2498517128.74326873624453766809237,0.000000000400237400214658865986629832491218,8980750271.60101247422791644,3.600808271740343592,38.90022360301333486662564444030697,1629766576,13084952,3442284478187.317309616524305431,1.355051052288667611
