tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-886380,0,3.213145074099922e-49,WBTC/WETH-0.3,7.989175246150981e+22,2.5747501995997077e-26,0.0,3.651446114972513e-25
-886320,0,3.2324809273230146e-49,WBTC/WETH-0.3,7.96524483048405e+22,2.582485660822506e-26,0.0,3.9096946810547633e-25
-886260,0,3.2519331385726653e-49,WBTC/WETH-0.3,7.941386094905519e+22,2.590244362109406e-26,0.0,4.168719117265704e-25
-886200,0,3.2715024080605577e-49,WBTC/WETH-0.3,7.917598824710142e+22,2.598026373282464e-26,0.0,4.4285217545939505e-25
-886140,0,3.291189440212062e-49,WBTC/WETH-0.3,7.893882805830983e+22,2.60583176437193e-26,0.0,4.689104931031144e-25
-886080,0,3.3109949436915968e-49,WBTC/WETH-0.3,7.870237824847787e+22,2.61366060562025e-26,0.0,4.950470991593168e-25
-886020,0,3.3309196314281312e-49,WBTC/WETH-0.3,7.846663668974277e+22,2.6215129674791527e-26,0.0,5.212622288341084e-25
-885960,0,3.3509642206408533e-49,WBTC/WETH-0.3,7.823160126066438e+22,2.629388920613658e-26,0.0,5.47556118040245e-25
-885900,0,3.3711294328649847e-49,WBTC/WETH-0.3,7.799726984612112e+22,2.6372885358998887e-26,0.0,5.739290033992438e-25
-885840,0,3.3914159939777558e-49,WBTC/WETH-0.3,7.776364033733751e+22,2.6452118844272547e-26,0.0,6.003811222435164e-25
-885780,0,3.4118246342245317e-49,WBTC/WETH-0.3,7.753071063186217e+22,2.653159037499003e-26,0.0,6.269127126185065e-25
-885720,0,3.432356088245101e-49,WBTC/WETH-0.3,7.729847863353524e+22,2.6611300666323945e-26,0.0,6.5352401328483045e-25
-885660,0,3.453011095100117e-49,WBTC/WETH-0.3,7.706694225247743e+22,2.6691250435596167e-26,0.0,6.802152637204266e-25
-885600,0,3.473790398297708e-49,WBTC/WETH-0.3,7.68360994050683e+22,2.6771440402283295e-26,0.0,7.069867041227099e-25
-885540,0,3.494694745820234e-49,WBTC/WETH-0.3,7.66059480139195e+22,2.6851871288020287e-26,0.0,7.338385754107302e-25
-885480,0,3.515724890151212e-49,WBTC/WETH-0.3,7.637648600787915e+22,2.6932543816615025e-26,0.0,7.607711192273453e-25
-885420,0,3.53688158830241e-49,WBTC/WETH-0.3,7.614771132200468e+22,2.7013458714051945e-26,0.0,7.877845779413973e-25
-885360,0,3.5581656018410874e-49,WBTC/WETH-0.3,7.59196218975156e+22,2.70946167084884e-26,0.0,8.148791946498856e-25
-885300,0,3.579577696917414e-49,WBTC/WETH-0.3,7.569221568181324e+22,2.717601853027469e-26,0.0,8.420552131801603e-25
-885240,0,3.6011186442920484e-49,WBTC/WETH-0.3,7.546549062844856e+22,2.725766491195587e-26,0.0,8.693128780921163e-25
-885180,0,3.622789219363882e-49,WBTC/WETH-0.3,7.523944469709558e+22,2.7339556588275374e-26,0.0,8.966524346803916e-25
-885120,0,3.644590202197951e-49,WBTC/WETH-0.3,7.501407585353517e+22,2.742169429618235e-26,0.0,9.240741289765739e-25
-885060,0,3.666522377553514e-49,WBTC/WETH-0.3,7.4789382069673125e+22,2.7504078774851616e-26,0.0,9.515782077514256e-25
-885000,0,3.688586534912304e-49,WBTC/WETH-0.3,7.456536132343423e+22,2.758671076565821e-26,0.0,9.791649185170838e-25
-884940,0,3.710783468506944e-49,WBTC/WETH-0.3,7.434201159885977e+22,2.7669591012226525e-26,0.0,1.0068345095293105e-24
-884880,0,3.7331139773495405e-49,WBTC/WETH-0.3,7.411933088598223e+22,2.775272026039756e-26,0.0,1.034587229789708e-24
-884820,0,3.7555788652604384e-49,WBTC/WETH-0.3,7.38973171808827e+22,2.7836099258263473e-26,0.0,1.0624233290479716e-24
-884760,0,3.778178940897163e-49,WBTC/WETH-0.3,7.367596848563971e+22,2.791972875616215e-26,0.0,1.0903430578041337e-24
-884700,0,3.8009150177835245e-49,WBTC/WETH-0.3,7.34552828083033e+22,2.8003609506680813e-26,0.0,1.1183466673108144e-24
-884640,0,3.8237879143389034e-49,WBTC/WETH-0.3,7.3235258162902515e+22,2.808774226467244e-26,0.0,1.1464344095754868e-24
-884580,0,3.846798453907711e-49,WBTC/WETH-0.3,7.301589256941901e+22,2.817212778725936e-26,0.0,1.1746065373627462e-24
-884520,0,3.869947464789025e-49,WBTC/WETH-0.3,7.27971840537515e+22,2.8256766833833293e-26,0.0,1.2028633041965795e-24
-884460,0,3.89323578026641e-49,WBTC/WETH-0.3,7.257913064772292e+22,2.8341660166071694e-26,0.0,1.2312049643626512e-24
-884400,0,3.9166642386379054e-49,WBTC/WETH-0.3,7.2361730389035645e+22,2.842680854793414e-26,0.0,1.2596317729105854e-24
-884340,0,3.9402336832462085e-49,WBTC/WETH-0.3,7.214498132130139e+22,2.8512212745687794e-26,0.0,1.2881439856562732e-24
-884280,0,3.9639449625090286e-49,WBTC/WETH-0.3,7.192888149395487e+22,2.8597873527887385e-26,0.0,1.3167418591841605e-24
-884220,0,3.9877989299496254e-49,WBTC/WETH-0.3,7.171342896229761e+22,2.868379166540616e-26,0.0,1.3454256508495669e-24
-884160,0,4.011796444227537e-49,WBTC/WETH-0.3,7.149862178745323e+22,2.876996793143224e-26,0.0,1.374195618780999e-24
-884100,0,4.035938369169486e-49,WBTC/WETH-0.3,7.128445803633754e+22,2.885640310147041e-26,0.0,1.4030520218824695e-24
-884040,0,4.060225573800472e-49,WBTC/WETH-0.3,7.107093578168246e+22,2.894309795336583e-26,0.0,1.4319951198358354e-24
-883980,0,4.08465893237506e-49,WBTC/WETH-0.3,7.085805310196535e+22,2.9030053267289435e-26,0.0,1.4610251731031247e-24
-883920,0,4.109239324408845e-49,WBTC/WETH-0.3,7.064580808144173e+22,2.911726982576524e-26,0.0,1.49014244292889e-24
-883860,0,4.133967634710113e-49,WBTC/WETH-0.3,7.043419881008837e+22,2.9204748413661264e-26,0.0,1.519347191342551e-24
-883800,0,4.15884475341169e-49,WBTC/WETH-0.3,7.022322338362213e+22,2.9292489818211335e-26,0.0,1.5486396811607625e-24
-883740,0,4.1838715760029874e-49,WBTC/WETH-0.3,7.001287990343494e+22,2.938049482900238e-26,0.0,1.578020175989765e-24
-883680,0,4.2090490033622324e-49,WBTC/WETH-0.3,6.980316647663842e+22,2.9468764238007165e-26,0.0,1.6074889402277722e-24
-883620,0,4.234377941788897e-49,WBTC/WETH-0.3,6.959408121599899e+22,2.9557298839571553e-26,0.0,1.6370462390673439e-24
-883560,0,4.2598593030363254e-49,WBTC/WETH-0.3,6.9385622239921725e+22,2.96460994304218e-26,0.0,1.6666923384977655e-24
-883500,0,4.2854940043445484e-49,WBTC/WETH-0.3,6.917778767247645e+22,2.973516680969003e-26,0.0,1.6964275053074556e-24
-883440,0,4.311282968473304e-49,WBTC/WETH-0.3,6.897057564333803e+22,2.9824501778903296e-26,0.0,1.726252007086359e-24
-883380,0,4.337227123735255e-49,WBTC/WETH-0.3,6.876398428776605e+22,2.991410514198906e-26,0.0,1.756166112228348e-24
-883320,0,4.3633274040294015e-49,WBTC/WETH-0.3,6.8558011746646745e+22,3.000397770530795e-26,0.0,1.786170089933656e-24
-883260,0,4.3895847488747e-49,WBTC/WETH-0.3,6.835265616639253e+22,3.009412027762463e-26,0.0,1.8162642102112806e-24
-883200,0,4.416000103443882e-49,WBTC/WETH-0.3,6.81479156989964e+22,3.0184533670146024e-26,0.0,1.8464487438814265e-24
-883140,0,4.442574418597477e-49,WBTC/WETH-0.3,6.794378850196949e+22,3.027521869650858e-26,0.0,1.8767239625779355e-24
-883080,0,4.469308650918043e-49,WBTC/WETH-0.3,6.77402727383574e+22,3.0366176172800096e-26,0.0,1.9070901387507352e-24
-883020,0,4.496203762744596e-49,WBTC/WETH-0.3,6.753736657669475e+22,3.045740691755428e-26,0.0,1.9375475456682898e-24
-882960,0,4.52326072220725e-49,WBTC/WETH-0.3,6.7335068191013026e+22,3.054891175176893e-26,0.0,1.9680964574200585e-24
-882900,0,4.550480503262072e-49,WBTC/WETH-0.3,6.713337576079969e+22,3.064069149890232e-26,0.0,1.998737148918961e-24
-882840,0,4.577864085726139e-49,WBTC/WETH-0.3,6.69322874710056e+22,3.073274698489135e-26,0.0,2.0294698959038524e-24
-882780,0,4.605412455312802e-49,WBTC/WETH-0.3,6.673180151202027e+22,3.0825079038155247e-26,0.0,2.0602949749420074e-24
-882720,0,4.633126603667177e-49,WBTC/WETH-0.3,6.65319160796472e+22,3.0917688489599164e-26,0.0,2.0912126634316067e-24
-882660,0,4.661007528401835e-49,WBTC/WETH-0.3,6.6332629375087486e+22,3.1010576172621455e-26,0.0,2.1222232396042284e-24
-882600,0,4.689056233132715e-49,WBTC/WETH-0.3,6.613393960495047e+22,3.1103742923133727e-26,0.0,2.153326982527362e-24
-882540,0,4.71727372751525e-49,WBTC/WETH-0.3,6.593584498120558e+22,3.119718957955353e-26,0.0,2.1845241721069155e-24
