tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-881940,0,5.008958618037241e-51,USDC/WETH-0.3,5.285066145458652e+25,2.6552210912739835e-25,0.0,2.075480630745801e-23
-881880,0,5.0391011999640923e-51,USDC/WETH-0.3,5.269235496387646e+25,2.6631983155470836e-25,0.0,2.1021126139012717e-23
-881820,0,5.0694251719391554e-51,USDC/WETH-0.3,5.253452265729796e+25,2.6711995062263423e-25,0.0,2.1288246089635354e-23
-881760,0,5.09993162551954e-51,USDC/WETH-0.3,5.237716311449995e+25,2.6792247353152633e-25,0.0,2.1556168563166883e-23
-881700,0,5.130621658831055e-51,USDC/WETH-0.3,5.222027491938539e+25,2.68727407503365e-25,0.0,2.1824895970670246e-23
-881640,0,5.16149637660774e-51,USDC/WETH-0.3,5.2063856660109165e+25,2.69534759781881e-25,0.0,2.2094430730452124e-23
-881580,0,5.192556890231629e-51,USDC/WETH-0.3,5.190790692903818e+25,2.703445376324801e-25,0.0,2.2364775268084604e-23
-881520,0,5.223804317772761e-51,USDC/WETH-0.3,5.1752424322766886e+25,2.711567483424538e-25,0.0,2.2635932016427056e-23
-881460,0,5.255239784029419e-51,USDC/WETH-0.3,5.15974074420918e+25,2.719713992209789e-25,0.0,2.2907903415648035e-23
-881400,0,5.2868644205686256e-51,USDC/WETH-0.3,5.1442854891998024e+25,2.727884975991781e-25,0.0,2.3180691913247212e-23
-881340,0,5.3186793657668737e-51,USDC/WETH-0.3,5.12887652816512e+25,2.7360805083020985e-25,0.0,2.3454299964077422e-23
-881280,0,5.350685764851102e-51,USDC/WETH-0.3,5.113513722438382e+25,2.7443006628932874e-25,0.0,2.3728730030366748e-23
-881220,0,5.382884769939919e-51,USDC/WETH-0.3,5.098196933767331e+25,2.7525455137390033e-25,0.0,2.400398458174065e-23
-881160,0,5.415277540085083e-51,USDC/WETH-0.3,5.082926024315894e+25,2.760815135036266e-25,0.0,2.4280066095244275e-23
