id,symbol,name,decimals,totalSupply,volume,volumeUSD,untrackedVolumeUSD,feesUSD,txCount,poolCount,totalValueLocked,totalValueLockedUSD,totalValueLockedUSDUntracked,derivedETH
0x3ec81cebc9b5ec70852279e195b21bf0ad89b8fe,SV,SV,18,18368,0.999588412182105253,350145.4530135114962029974639285281,195004.6330407619338294611487512763,35.01454530135114962029974639285281,4,0,0.00000000000000031,0.0000002638050033737548850439427140282344,0,276076.5181848618871833010655289114
0x2b9d77bd798860db90917cb2e256ab3de32b0c39,EASE.ORG,Ease Test Token,18,28368,0.00002,13.70836140455222173646312527232704,13.69297689533842837575257947622416,0.001370836140455222173646312527232704,15,0,0.000000002000000003,0.002729412640429979785354044497545052,0,999.6808517123844213074695560262085
0x160de4468586b6b2f8a92feb0c260fc6cfc743b1,ease.org,Ease Fun Token,18,28368,0.000003,1.141758918984956706118360126972235,1.608268765246028351784132355586548,0.0001141758918984956706118360126972235,7,0,0.076096432256931772,79012.78732137479391304623195064636,0,833.2528589260775996459425809724284
0x3b79a28264fc52c7b4cea90558aa0b162f7faf57,wMEMO,Wrapped MEMO,18,18368,49.032279221832268714,5970591.477286625492235803748114658,5139046.820986783441896949368218231,59705.91477286625492235803748114658,126,0,36.425629402115961778,971619.1712202025811744519656994032,0,20.43302578957850427961093984072214
0x23b608675a2b2fb1890d3abbd85c5775c51691d5,SOCKS,Unisocks Edition 0,18,18240,320.82903955460880139,25761732.13084092755209172590752988,22890824.02238697727224232018771055,255125.9619037640245896712963185465,3790,0,16.655092398441153862,367058.9069330545028289929379833813,0,16.2935327830934632387705165765025
0x71e1b632f1ddc20f79df1472f7a464779588a6d1,indexBTC,Thetanut Index BTC,8,18368,4.31465012,102651.763775837905770992326180462,103397.7678485992082283557355636921,307.9552913275137173129769785413861,21,0,0.47166528,9212.563704439873337947816900992009,0,15.01542769196716890495567155537807
0x36f9975d8184a65be42290d5a8764dc97f3d9396,BTCM,Bitcoin Mapped Token,18,18368,0.005209999170062459,157.6620303231567077105756890655784,78.83101516157835385528784453278925,0.0788310151615783538552878445327892,2,0,26.225687040425504075,794024.5332092061094885086433851743,0,14.71750697015563772874912505776853
0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,renBTC,renBTC,8,28240,32780.11512252,1102459262.428028703040894619230352,1099927925.250059978726631004380752,598545.7841489376978195932593252296,19402,0,83.20379897,1571146.093870134877148494180659613,0,14.55201957228920254297119177339259
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Wrapped BTC,8,18240,2112483.25955761,69136586745.7801631173465146118981,69124354705.09743699003886957524493,113917101.4441966400109799282482873,850342,0,9728.55698527,181710443.4832967260509968576857065,0,14.47445455699990888761052246649951
0x3aada3e213abf8529606924d8d1c55cbdc70bf74,XMON,XMON,18,28240,4057.67954673664754547,132850514.7101149498767179078217332,131086265.5650811747513048980591876,1325318.381741310605888764969719398,12381,0,133.197015940988538976,2209273.576887050531394760116964171,0,12.82219525383177914825418978726733
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,YFI,yearn.finance,18,18240,14052.35643763657894658,393458971.0249232532515061847409539,392976306.8585652300366009322109152,1719944.086887793160835336035269265,23103,0,65.783839228971431861,540397.4317553478618563296120338218,0,6.369313219316547381161047491461647
0xf0dc76c22139ab22618ddfb498be1283254612b1,WSTR,WrappedStar,18,28368,895.934142803235567868,7439321.208655617215157567800116646,7081453.417062732249386049998996016,74393.21208655617215157567800116646,1330,0,190.964231833793095444,854629.0902706628423991318136479716,0,3.324652915204610997117578672275257
0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,gOHM,Governance OHM,18,28368,53169.246773209766643867,274171996.8894996801879912980839434,275941284.5520911262262723580877922,2475937.078100741380317787501724135,36122,0,345.713187998795553424,842919.7893423854228800007302507375,0,1.885984536746546264001430037393849
0xec0a0915a7c3443862b678b0d4721c7ab133fdcf,WOA,Wrapped Origin Axie,18,18240,268.920652480772337237,1395009.810591884453478500373261416,1347896.4326401922852103412974307,13950.09810591884453478500373261416,370,0,20.391075389104109305,41056.16825500299959218139727542018,0,1.274001429196812595923986604715783
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Wrapped liquid staked Ether 2.0,18,18240,112618.361121754877834108,237981231.6274566575554106301381411,251372068.6016098192141658244303523,172671.9744132524368468233338398609,8139,0,573.872594981342114124,800517.7547268727521991099162438149,0,1.081140174734883591083805786210174
0xae78736cd615f374d3085123a210448e74fc6393,rETH,Rocket Pool ETH,18,28368,139000.420618009923301072,300773111.7435263529668362582700743,316874433.068437539133761742115963,275745.6459781024562313490063996083,13930,0,2410.900571675845378587,3233023.674697811787316396634450441,0,1.03933632897630430633540286582587
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,18,19848,240093113.383859726275521089,601208043319.6412305901118713044227,417849010462515.3976143593016262768,1033053681.654905725787135487592355,17007649,0,632342.450951322530091605,815983904.5416553780637533879344051,0,1
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,Liquid staked Ether 2.0,18,28240,529.15427774106098171,706889.3246240452934268376924273527,595080.5343500041298484993555154976,6905.814835220452934268376924273528,472,0,81.621086131988901987,105093.3836072599990292954895352361,0,0.9922442204017074808641660940464132
