date,liquidity,token0Price,token1Price,tvlUSD,volumeUSD,feesUSD,tick,Pool_ID
2022-09-23,1.5844820378596353e+23,223.41810288711685,0.0044759130396217,10679412.872182745,1467353.0943878952,4402.059283163687,-54094.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-22,1.5098423186583973e+23,231.4540160946543,0.004320512630859,10737253.678312728,2966241.4958744003,8898.724487623202,-54447.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-21,1.2224492463401702e+23,232.91142556456091,0.0042934776496089,10163967.008090228,2065561.1065617888,6196.683319685367,-54510.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-20,1.3913221883538922e+23,249.70763247283153,0.0040046833574812,10243823.423169728,1256020.5373488476,3768.0616120465434,-55206.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-19,1.3837119832171017e+23,251.25872232400624,0.0039799613352744,10639442.894784613,1676287.5291992694,5028.862587597808,-55268.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-18,1.5490863527888777e+23,243.68477855989852,0.0041036621405312,10352649.440392198,857473.6442072548,2572.420932621764,-54962.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-17,1.5220688733633122e+23,244.1399636264128,0.0040960110960375,12516757.732877305,832189.9793002211,2496.569937900664,-54981.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-16,2.5225136121798082e+23,246.76164074642392,0.0040524937221811,12460772.765073491,1545641.4242737184,4636.924272821156,-55087.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-15,5.040413975037051e+23,250.7245924573479,0.0039884400257629,12520310.486857744,4053712.5561808497,12161.137668542551,-55247.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-14,5.045379590116579e+23,264.33936075289137,0.0037830158821289,13378032.473620765,3094689.820440848,9284.069461322544,-55776.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-13,5.057511811833952e+23,260.7268038907355,0.0038354322803691,12999222.915922416,5440783.8908750545,16322.351672625164,-55638.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-12,5.086347465307843e+23,257.5982186816008,0.0038820144219864,14374966.112175057,2979628.794709468,8938.886384128404,-55517.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-11,1.1636588180107653e+23,271.6321813838804,0.0036814489170808,14486243.629504217,2447329.5514713977,7341.9886544141955,-56048.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-10,3.932730059230303e+23,266.36425760604425,0.0037542574555142,14858513.753877211,3229388.784889628,9688.166354668883,-55852.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-09,4.3712726167474345e+23,264.6776954883244,0.0037781800924139,14365708.507469455,4296196.408326684,12888.58922498005,-55788.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-08,4.368540466369817e+23,264.8726298693792,0.0037753995212459,13662781.910567263,1518218.16490089,4554.6544947026705,-55796.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-07,3.931367285432912e+23,265.8854492595249,0.0037610181481722,13654798.75832278,2253348.448984532,6760.045346953596,-55834.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-06,8.472946251656358e+22,266.71401719747087,0.0037493342513738,13033652.943877857,3793149.4173331903,11379.44825199957,-55865.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-05,6.627552485310443e+23,245.05058189642023,0.0040807901465122,17010787.967384566,3419996.600901657,10259.989802704971,-55018.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-04,6.688762321542917e+23,244.25083676679367,0.0040941517877164,16659429.614387417,2762674.949945041,8288.024849835121,-54985.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-03,6.149896962553112e+23,247.09240368784077,0.0040470689712636,16341230.23599794,1008739.3619720864,3026.2180859162595,-55101.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-02,4.823603853873033e+23,246.72569954771384,0.0040530840598816,16423172.008286864,2543221.450602852,7629.664351808557,-55086.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-09-01,4.522541174637227e+23,250.71347208953333,0.003988616932571,16361053.36414522,2360395.155017296,7081.185465051889,-55246.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-08-31,4.728596077398594e+23,252.7654993378329,0.0039562361264479,15866433.007823402,3141481.6253356626,9424.444876006986,-55328.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-08-30,5.37259958397122e+23,247.89741232221215,0.0040339267386148,15792892.563822007,2903953.9260084494,8711.861778025348,-55133.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-08-29,3.192836612076724e+23,244.6699284987572,0.0040871389718212,14909038.253516372,1007477.4605659698,3022.4323816979095,-55002.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
2022-08-28,2.362804213324745e+23,249.60780129558964,0.0040062850392075,14187268.123695845,1680473.4591807665,5041.4203775423,-55202.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801
